Discharge,Dayl,Prcp,Srad,Swe,Tmax,Tmin,Vp,Date
1080,30172.51,0,187.39,0,-9.19,-23.45,83.17,2000-01-01
1010,30253.1,3.98,129.36,0,-1,-13.2,221.52,2000-01-02
990,30344.18,7.49,123.19,0,1.78,-9.38,296.45,2000-01-03
968,30408.33,4.11,145.66,0,2.1,-12.9,224.91,2000-01-04
957,30413.48,3.41,157.81,0,1.85,-13.2,222.56,2000-01-05
922,30485.93,0,202.85,0,-7.74,-23.21,94.36,2000-01-06
888,30598.72,1.43,172.05,0,-3.44,-15.52,183.16,2000-01-07
872,30733.73,1.85,145.59,0,-4.62,-13.65,215.06,2000-01-08
836,30758.4,2.73,134.95,0,-3.99,-13.36,216.41,2000-01-09
818,30798.52,0,197.18,0,-0.85,-14.51,199.85,2000-01-10
808,30944.32,13.53,123.53,0,0.26,-9.6,294.49,2000-01-11
803,31099.53,0,149.34,0,0.1,-8.45,321.58,2000-01-12
734,31104.68,0,177.86,0,-8.29,-18.71,144.79,2000-01-13
680,31209.29,0,153.93,0,-15.69,-24.09,80,2000-01-14
678,31424.91,0,175.62,0,-17.99,-27.84,68.36,2000-01-15
675,31449.61,9.01,194.48,0,-14.37,-29.87,40,2000-01-16
660,31554.92,8.6,118.73,0,-10.93,-19.22,129.25,2000-01-17
650,31770.52,0,184.23,0,-14.11,-24.04,84.74,2000-01-18
640,31795.92,0,229.44,0,-14.66,-28.83,50.77,2000-01-19
630,31939.46,0,255.84,0,-12.41,-31.2,40,2000-01-20
620,32136.34,4.55,186.64,0,-12.77,-25.3,80.04,2000-01-21
610,32150.34,5.25,99.12,0,-16.22,-22.39,107.52,2000-01-22
600,32369.58,0,200.11,0,-15.93,-26.01,80,2000-01-23
585,32486.42,2.45,185.25,0,-11.34,-23.08,92.64,2000-01-24
580,32591.71,7.09,189.35,0,-6.85,-21.46,119.76,2000-01-25
575,32831.98,11.53,172.05,0,-3.08,-14.83,194.71,2000-01-26
565,32872.09,3.31,173.33,0,-6.36,-17,160.57,2000-01-27
555,33152.95,2.28,160.87,0,-12.02,-19.99,120.14,2000-01-28
550,33178.32,0,203.61,0,-9.68,-18.83,136.09,2000-01-29
540,33406.36,0,285.46,0,-3.45,-20.04,120,2000-01-30
535,33523.2,6.47,245.67,0,-0.87,-17.53,160,2000-01-31
530,33709.13,9.35,141.28,0,-2.32,-10.2,280,2000-02-01
525,33868.83,1.07,192.17,0,-4.54,-13,225.37,2000-02-02
520,34013.06,0,194.26,0,-9.59,-17.17,158.56,2000-02-03
510,34214.42,0,319.39,0,-10.05,-27.91,65.5,2000-02-04
500,34319.71,0,327.49,0,-9.01,-28.02,62.98,2000-02-05
499,34560.02,0,300.12,0,-9.44,-23.54,80.16,2000-02-06
495,34665.32,0.22,310.59,0,-6.72,-21.84,114.12,2000-02-07
490,34905.6,0,343.36,0,-6.59,-27.35,80,2000-02-08
480,35010.92,0,320.79,0,-4.21,-20.08,120,2000-02-09
479,35251.23,0,354.27,0,-5.9,-27.86,64.12,2000-02-10
475,35395.48,6.55,242.48,0,-7.69,-23.36,89.34,2000-02-11
470,35596.84,4.24,236.72,0,-8.91,-21.32,120,2000-02-12
469,35825.56,0.36,336.5,0,-8.1,-24.96,80,2000-02-13
465,35942.37,27.34,224.25,0,-5.79,-18.37,145.07,2000-02-14
460,36219.34,18.59,103.19,0,-5.67,-10.38,274.53,2000-02-15
459,36287.98,3.69,275.37,0,-3.78,-17.05,160,2000-02-16
455,36633.61,1.35,287.16,0,-7.1,-19.74,120,2000-02-17
450,36633.61,0,395.22,0,-12.27,-32.02,40,2000-02-18
449,36979.2,0,409.62,0,-5.42,-27.51,68.27,2000-02-19
445,37019.28,0,415.13,0,-3.47,-26.17,80,2000-02-20
442,37324.8,0,376.57,0,-5.87,-22.57,103.34,2000-02-21
441,37469.05,0,431.26,0,-6.24,-31.59,40,2000-02-22
480,37670.41,4.61,284.57,0,-0.29,-17.18,163.18,2000-02-23
450,38011.58,0.01,328.43,0,6.66,-6.57,371.04,2000-02-24
445,38016.03,0,404.29,0,4.88,-13.97,206.72,2000-02-25
440,38361.61,0,416.34,0,2.41,-17.4,160,2000-02-26
460,38362.3,0,282.76,0,5.8,-4.93,428.31,2000-02-27
490,38707.21,7.61,174.72,0,10.62,1.93,714.13,2000-02-28
520,38893.1,7.16,146.21,0,3.85,-2.89,495.9,2000-02-29
550,39052.8,0,218.65,0,2.14,-5.23,416.19,2000-03-01
580,39398.36,6.62,150.38,0,3.57,-3.08,489.45,2000-03-02
625,39398.36,10.8,77.28,0,1.54,-1.47,549.59,2000-03-03
690,39744,6.66,89.11,0,0.73,-2.79,497.91,2000-03-04
710,39784.08,2.63,135.95,0,0.01,-4.6,435.09,2000-03-05
710,40089.56,1.42,179.41,0,0.26,-4.88,425.66,2000-03-06
710,40435.18,0,408.01,0,3.4,-10.39,280,2000-03-07
690,40435.18,0,449.33,0,5.44,-10.91,271.1,2000-03-08
715,40780.77,4.75,308.86,0,7.06,-6.43,375.48,2000-03-09
680,40780.77,2.18,457.12,0,3.92,-13.5,217.77,2000-03-10
710,41126.41,0,425.1,0,-4.15,-17.21,160.13,2000-03-11
760,41472.05,12.3,287.8,0,-2.02,-12.9,226.16,2000-03-12
790,41472.05,8.01,250.43,0,-2.87,-11.7,252.85,2000-03-13
810,41817.62,0,544.27,0,-1.66,-23.72,80.27,2000-03-14
815,41817.62,0,515.28,0,2.64,-15.39,186.22,2000-03-15
810,42163.23,2.48,299.66,0,4.71,-4.21,447.51,2000-03-16
790,42508.75,1.65,406.88,0,1.11,-10.81,268.81,2000-03-17
780,42508.75,0,489.56,0,-4.43,-19.35,121.71,2000-03-18
775,42854.38,0,562.5,0,-0.14,-21.63,120,2000-03-19
770,42854.38,0,559.96,0,4.89,-15.84,172.45,2000-03-20
710,43199.98,0,516.28,0,7.25,-8.86,312.6,2000-03-21
683,43545.56,0,544.29,0,10.94,-7.41,357.1,2000-03-22
691,43545.56,0,530.01,0,11.95,-4.76,440,2000-03-23
724,43891.17,0,460.48,0,10.21,-2.23,519.91,2000-03-24
764,43891.17,0,524.83,0,7.81,-7.5,359.13,2000-03-25
839,44236.76,2.24,445.91,0,10.16,-3.07,487.15,2000-03-26
947,44582.39,0,509.76,0,10,-3.86,451.55,2000-03-27
1110,44582.39,4.63,384.36,0,9.25,-2.2,520.6,2000-03-28
1580,44928.04,7.1,257.31,0,8.06,0.19,615.23,2000-03-29
2070,44928.04,3.28,199.59,0,5.26,-0.04,604.21,2000-03-30
2560,45273.62,0.76,266.56,0,5.35,-0.51,597.51,2000-03-31
2980,45619.19,0,357.78,0,6.58,-1.42,553.47,2000-04-01
3290,45619.19,0,450.1,0,9.19,-1.68,543.5,2000-04-02
3690,45964.79,0.95,488.99,0,11.25,-1.41,555.98,2000-04-03
4330,45964.79,9.6,317.01,0,9.91,-0.35,595.93,2000-04-04
5180,46310.35,6.07,165.61,0,5.75,0.93,649.21,2000-04-05
5750,46615.85,0,437.39,0,6.52,-3.77,462.36,2000-04-06
6030,46656,0,519.88,0,8.13,-5.02,427.56,2000-04-07
6140,47001.58,7.88,374.05,0,8.65,-3.55,465.47,2000-04-08
6610,47001.58,12.51,393.35,0,12.93,-0.34,596.02,2000-04-09
7970,47347.2,7.16,339.08,0,7.2,-3.12,487.31,2000-04-10
8140,47506.88,0,428.82,0,1.52,-7.76,338.06,2000-04-11
8000,47692.84,5.59,302.43,0,2.65,-5.91,394.84,2000-04-12
7680,48037.73,2.14,355.81,0,1.22,-6.78,364.17,2000-04-13
7250,48038.42,0.05,600.06,0,5.17,-9.64,292.32,2000-04-14
7010,48384,4.75,366.83,0,7.12,-2.92,494.47,2000-04-15
7250,48388.47,14.31,245.83,0,5.23,-1.08,567.03,2000-04-16
6970,48729.57,0,548.55,0,4.37,-7.56,347,2000-04-17
6690,48930.96,0,622.47,0,5.39,-9.58,280.03,2000-04-18
6420,49075.18,0,575.47,0,8.18,-4.36,444.24,2000-04-19
6160,49380.64,0.76,450.76,0,9.08,0.5,628.82,2000-04-20
5960,49420.75,0,620.19,0,10.45,-3.72,459,2000-04-21
5770,49766.45,9.23,405.18,0,7.21,-1.79,538.6,2000-04-22
5900,49766.45,16.96,160.77,0,3.04,-0.36,597.41,2000-04-23
7240,50112.03,26.65,183.27,0,3.45,-0.32,598.1,2000-04-24
8200,50180.66,4.38,371.6,0,3.58,-3.59,468.65,2000-04-25
8330,50457.65,0,659.02,0,8.6,-5.86,398.95,2000-04-26
8190,50574.5,2.81,511.89,0,7.82,-3.41,471.32,2000-04-27
7930,50803.22,3.14,298.77,0,4.92,-1.22,560.12,2000-04-28
7610,51004.61,1.21,585.16,0,11.84,-1.97,522.14,2000-04-29
7330,51148.87,1.25,619.12,0,13.92,-1.61,545.32,2000-04-30
7100,51350.2,5.23,511.12,0,9.58,-4.14,440,2000-05-01
6880,51494.38,3,410.27,0,9.72,-0.59,585.77,2000-05-02
6630,51734.67,0,653.59,0,10.92,-3.71,463.33,2000-05-03
6360,51839.99,0,688.44,0,16.79,-1.74,539.18,2000-05-04
6150,52080.28,1.9,598.32,0,20.77,2.77,741.24,2000-05-05
5970,52185.57,0,660.16,0,17.7,0.78,643.69,2000-05-06
5860,52386.95,9.25,463.1,0,19.58,4.77,861.71,2000-05-07
5760,52531.16,3.22,503.13,0,21.18,7.08,1007.69,2000-05-08
5600,52690.84,5.87,359.2,0,13.35,3.96,808.36,2000-05-09
5520,52876.82,7.65,277.81,0,6.65,0.06,613.74,2000-05-10
5530,52993.65,18.02,177.52,0,5.09,1.12,662.89,2000-05-11
5690,53221.66,9.92,342.97,0,9.16,1.15,665.69,2000-05-12
5610,53247.04,0,630.38,0,14.87,0.27,621.67,2000-05-13
5550,53527.88,8.08,432.7,0,16.77,4.29,827.92,2000-05-14
5330,53567.99,0,578.98,0,17.15,4.43,834.02,2000-05-15
5060,53808.35,0,577.73,0,14.51,1.96,703.55,2000-05-16
4770,53913.66,0,649.38,0,16.45,0.03,604.09,2000-05-17
4570,54030.47,12.23,451.54,0,15.88,4.63,850.95,2000-05-18
4580,54249.66,16.59,467.53,0,11.38,-1.23,561.97,2000-05-19
4350,54263.68,0,655.3,0,13.86,-2.78,497.45,2000-05-20
4130,54460.54,0,675.53,0,19.31,-0.19,604.54,2000-05-21
3890,54604.08,0,656.98,0,21.03,2.38,722.91,2000-05-22
3670,54629.48,0.13,491.62,0,18.44,7.42,1033.48,2000-05-23
