Discharge,Dayl,Prcp,Srad,Swe,Tmax,Tmin,Vp
45.0,31795.2,0.0,216.62,0.0,0.92,-11.33,261.57
45.0,31795.2,0.0,200.44,0.0,5.54,-5.41,409.54
52.0,31795.2,1.74,204.98,0.0,10.99,-3.89,455.34
83.0,31795.2,16.33,163.32,0.0,12.02,-0.99,562.24
185.0,32094.18,11.77,179.19,0.0,7.97,-7.04,357.4
143.0,32140.79,0.0,201.3,0.0,-3.11,-13.3,220.0
117.0,32140.79,0.0,200.1,0.0,-0.92,-10.99,275.59
98.0,32140.79,0.0,189.97,0.0,1.98,-7.39,348.37
84.0,32140.79,0.0,194.17,0.0,2.15,-7.43,357.88
92.0,32439.78,0.0,173.37,0.0,3.61,-4.75,439.8
263.0,32486.38,22.39,95.79,0.0,5.55,-0.29,595.75
254.0,32486.38,1.39,146.03,0.0,5.01,-1.78,544.42
145.0,32486.38,0.0,173.76,0.0,-1.22,-9.15,309.98
92.0,32785.39,0.0,231.92,0.0,-8.24,-19.79,122.61
78.0,32832.01,0.0,175.08,0.0,-13.82,-21.48,116.14
65.0,32832.01,0.7,243.21,0.0,-7.06,-19.76,120.0
53.0,32840.51,6.34,219.85,0.0,-2.53,-24.26,80.5
48.0,33177.62,0.0,183.34,0.0,-16.79,-24.57,80.0
49.0,33177.62,0.0,247.77,0.0,-12.13,-24.09,80.0
49.0,33177.62,0.0,272.32,0.0,-9.48,-23.64,80.0
49.0,33523.21,2.83,191.17,0.0,-10.16,-21.16,116.78
48.0,33523.21,0.0,219.22,0.0,-13.02,-22.37,113.07
46.0,33523.21,0.0,263.45,0.0,-12.62,-24.91,80.0
45.0,33868.81,0.0,311.18,0.0,-5.73,-25.29,79.91
45.0,33868.81,0.0,267.34,0.0,-1.14,-13.59,202.01
47.0,33877.3,22.89,116.85,0.0,-5.04,-10.93,268.04
46.0,34214.37,0.58,255.85,0.0,-5.13,-15.97,172.17
45.0,34214.37,0.0,183.04,0.0,-12.49,-19.25,128.99
45.0,34513.37,0.0,160.38,0.0,-13.3,-19.11,131.78
44.0,34559.98,0.0,326.96,0.0,-1.64,-18.87,136.87
47.0,34559.98,10.4,253.85,0.0,3.58,-16.23,173.57
49.0,34905.59,3.63,170.89,0.0,1.51,-7.12,356.15
49.0,34905.59,1.13,304.42,0.0,-0.79,-13.89,207.14
47.0,35251.21,0.0,278.72,0.0,-8.97,-19.72,124.69
46.0,35251.21,0.0,333.16,0.0,-4.2,-19.14,131.12
45.0,35259.71,0.0,333.64,0.0,-2.22,-16.94,160.0
45.0,35596.81,0.0,323.91,0.0,-2.11,-15.63,183.92
44.0,35596.81,0.0,294.74,0.0,-2.27,-13.57,204.23
43.0,35942.4,0.0,370.96,0.0,0.57,-18.89,137.07
43.0,35942.4,0.0,370.32,0.0,-1.31,-20.09,120.0
43.0,36288.01,0.0,358.28,0.0,3.46,-13.65,200.45
43.0,36288.01,5.84,173.13,0.0,4.45,-4.05,441.21
44.0,36633.6,4.79,260.21,0.0,0.65,-14.19,200.0
44.0,36633.6,0.0,377.67,0.0,-3.83,-21.97,120.0
46.0,36746.01,19.74,298.38,0.0,1.25,-19.88,120.85
68.0,36979.2,13.85,180.53,0.0,1.43,-7.15,359.14
73.0,36987.7,0.0,298.43,0.0,-0.53,-11.27,258.82
65.0,37324.81,1.06,359.05,0.0,0.73,-13.48,203.06
55.0,37324.81,0.0,352.26,0.0,-7.11,-20.41,120.0
53.0,37670.42,15.1,225.55,0.0,-5.65,-15.88,172.89
53.0,37670.42,7.67,171.23,0.0,-1.39,-8.6,316.55
51.0,38016.01,0.0,367.16,0.0,-0.46,-13.75,200.0
49.0,38016.01,0.0,404.34,0.0,2.67,-13.12,229.54
48.0,38361.59,0.0,443.96,0.0,6.8,-13.15,225.31
52.0,38361.59,0.0,386.09,0.0,10.73,-3.71,461.88
89.0,38707.19,13.81,219.91,0.0,9.36,-0.37,600.0
146.0,38707.19,10.46,107.37,0.0,1.66,-2.52,516.31
177.0,39052.77,1.87,107.92,0.0,2.06,-1.02,565.57
279.0,39052.77,8.04,214.83,0.0,10.59,1.53,682.3
450.0,39398.36,0.71,226.59,0.0,4.65,-2.25,516.24
420.0,39398.36,0.0,362.45,0.0,5.2,-5.97,399.61
345.0,39744.0,0.59,409.71,0.0,8.28,-5.37,413.26
281.0,39752.51,0.0,222.7,0.0,4.07,-1.99,532.69
224.0,40089.6,0.0,198.53,0.0,2.14,-3.08,485.12
192.0,40435.22,0.0,316.54,0.0,4.9,-3.81,455.57
167.0,40435.22,0.0,294.63,0.0,4.11,-3.63,472.13
158.0,40780.82,0.0,398.23,0.0,6.76,-4.53,440.0
188.0,40780.82,0.0,450.46,0.0,10.96,-3.27,480.5
275.0,41126.4,0.0,463.47,0.0,13.29,-1.54,550.64
560.0,41126.4,7.69,385.53,0.0,15.5,-4.74,430.04
500.0,41471.99,0.0,309.02,0.0,3.02,-4.41,441.28
369.0,41471.99,24.54,127.57,0.0,0.33,-3.43,472.98
300.0,41817.62,3.22,283.13,0.0,0.64,-7.37,349.58
