Discharge,Dayl,Prcp,Srad,Swe,Tmax,Tmin,Vp,Date
0.108,0.30172509999999997,0.0,0.18738999999999997,0.0,-0.0919,-0.2345,0.008317,2000-01-01
0.101,0.302531,0.0398,0.12936,0.0,-0.01,-0.132,0.022152,2000-01-02
0.099,0.3034418,0.07490000000000001,0.12319,0.0,0.0178,-0.09380000000000001,0.029644999999999998,2000-01-03
0.0968,0.3040833,0.041100000000000005,0.14565999999999998,0.0,0.021,-0.129,0.022491,2000-01-04
0.0957,0.3041348,0.0341,0.15781,0.0,0.018500000000000003,-0.132,0.022256,2000-01-05
0.0922,0.3048593,0.0,0.20285,0.0,-0.0774,-0.2321,0.009436,2000-01-06
0.0888,0.3059872,0.0143,0.17205,0.0,-0.0344,-0.1552,0.018316,2000-01-07
0.0872,0.3073373,0.018500000000000003,0.14559,0.0,-0.0462,-0.1365,0.021506,2000-01-08
0.0836,0.307584,0.0273,0.13495,0.0,-0.039900000000000005,-0.1336,0.021641,2000-01-09
0.0818,0.3079852,0.0,0.19718,0.0,-0.0085,-0.1451,0.019985,2000-01-10
0.0808,0.3094432,0.1353,0.12353,0.0,0.0026,-0.096,0.029449,2000-01-11
0.0803,0.3109953,0.0,0.14934,0.0,0.001,-0.08449999999999999,0.032158,2000-01-12
0.0734,0.3110468,0.0,0.17786000000000002,0.0,-0.08289999999999999,-0.18710000000000002,0.014478999999999999,2000-01-13
0.068,0.3120929,0.0,0.15393,0.0,-0.15689999999999998,-0.2409,0.008,2000-01-14
0.0678,0.3142491,0.0,0.17562,0.0,-0.17989999999999998,-0.2784,0.006836,2000-01-15
0.0675,0.3144961,0.0901,0.19448,0.0,-0.1437,-0.2987,0.004,2000-01-16
0.066,0.3155492,0.086,0.11873,0.0,-0.1093,-0.19219999999999998,0.012925,2000-01-17
0.065,0.3177052,0.0,0.18422999999999998,0.0,-0.1411,-0.2404,0.008473999999999999,2000-01-18
0.064,0.3179592,0.0,0.22944,0.0,-0.1466,-0.2883,0.005077,2000-01-19
0.063,0.3193946,0.0,0.25584,0.0,-0.1241,-0.312,0.004,2000-01-20
0.062,0.3213634,0.0455,0.18663999999999997,0.0,-0.1277,-0.253,0.008004,2000-01-21
0.061,0.3215034,0.0525,0.09912,0.0,-0.16219999999999998,-0.22390000000000002,0.010752,2000-01-22
0.06,0.32369580000000003,0.0,0.20011,0.0,-0.1593,-0.2601,0.008,2000-01-23
0.0585,0.3248642,0.0245,0.18525,0.0,-0.1134,-0.23079999999999998,0.009264,2000-01-24
0.058,0.3259171,0.0709,0.18935,0.0,-0.06849999999999999,-0.2146,0.011976,2000-01-25
0.0575,0.32831980000000005,0.1153,0.17205,0.0,-0.0308,-0.1483,0.019471000000000002,2000-01-26
0.0565,0.3287209,0.0331,0.17333,0.0,-0.0636,-0.17,0.016057,2000-01-27
0.0555,0.3315295,0.022799999999999997,0.16087,0.0,-0.1202,-0.1999,0.012014,2000-01-28
0.055,0.3317832,0.0,0.20361,0.0,-0.0968,-0.1883,0.013609,2000-01-29
0.054,0.3340636,0.0,0.28546,0.0,-0.0345,-0.2004,0.012,2000-01-30
0.0535,0.335232,0.0647,0.24567,0.0,-0.0087,-0.1753,0.016,2000-01-31
