Discharge,Dayl,Prcp,Srad,Swe,Tmax,Tmin,Vp
0.0086,0.3144959,0.0,0.18503,0.0,-0.060700000000000004,-0.15990000000000001,0.017214
0.0088,0.3144959,0.0,0.20748,0.0,0.0363,-0.084,0.03211
0.015,0.3144959,0.06860000000000001,0.18024,0.0,0.1134,-0.0596,0.039119
0.024,0.3175733,0.151,0.17107,0.0,0.1093,-0.038900000000000004,0.046068
0.0418,0.317952,0.1244,0.18421,0.0,0.0876,-0.0812,0.032606
0.0174,0.317952,0.0,0.17797,0.0,-0.0712,-0.1589,0.018015
0.0179,0.317952,0.0,0.21943000000000001,0.0,-0.0233,-0.1444,0.020003999999999997
0.0136,0.317952,0.0308,0.16344999999999998,0.0,-0.0042,-0.1099,0.02675
0.0133,0.32102919999999996,0.0,0.19949,0.0,0.0017000000000000001,-0.0999,0.028
0.0134,0.32140799999999997,0.0,0.18712,0.0,0.0217,-0.0705,0.035861000000000004
0.0221,0.32140799999999997,0.235,0.1011,0.0,0.0213,-0.04019999999999999,0.04555
0.0168,0.32140799999999997,0.061,0.17952,0.0,0.0557,-0.0817,0.03363
0.0112,0.3222964,0.0,0.16436,0.0,-0.0579,-0.132,0.022115
0.0082,0.3248641,0.0,0.25056,0.0,-0.1054,-0.245,0.008722
0.008,0.3248641,0.0,0.19747,0.0,-0.1642,-0.2546,0.007706
0.0088,0.3248641,0.0415,0.17406,0.0,-0.1331,-0.2444,0.008073
0.008,0.3283199,0.0978,0.22138,0.0,-0.0375,-0.2652,0.007384
0.0079,0.3283199,0.0,0.09781999999999999,0.0,-0.2364,-0.2702,0.0077930000000000004
0.0078,0.3283199,0.0,0.20489,0.0,-0.18309999999999998,-0.2779,0.007051999999999999
0.0077,0.3317761,0.0,0.24708000000000002,0.0,-0.1392,-0.2612,0.008
0.0076,0.3317761,0.011000000000000001,0.25637,0.0,-0.1035,-0.2266,0.010118
0.0075,0.3317761,0.009000000000000001,0.25286000000000003,0.0,-0.14529999999999998,-0.2627,0.007445
0.0074,0.3352321,0.0,0.25372,0.0,-0.1588,-0.2742,0.007603
0.0074,0.3352321,0.0,0.29745,0.0,-0.1032,-0.2693,0.008
0.0073,0.3352321,0.0,0.28343,0.0,-0.0191,-0.1611,0.017718
0.0073,0.33868800000000004,0.1474,0.1159,0.0,-0.0703,-0.1284,0.022718000000000002
0.0072,0.33868800000000004,0.0513,0.20546999999999999,0.0,-0.0731,-0.19010000000000002,0.014034999999999999
0.0072,0.3395763,0.029900000000000003,0.13012,0.0,-0.1545,-0.2102,0.011715999999999999
0.0072,0.3421439,0.0,0.19403,0.0,-0.1407,-0.2121,0.012
0.0072,0.3421439,0.0,0.25174,0.0,-0.08800000000000001,-0.19399999999999998,0.012712000000000001
0.0075,0.3456,0.1043,0.25680000000000003,0.0,0.039,-0.16829999999999998,0.016186000000000002
0.0075,0.3456,0.08449999999999999,0.16259,0.0,-0.0184,-0.0987,0.029276
0.0074,0.3486773,0.0467,0.24556999999999998,0.0,-0.0392,-0.1812,0.014780000000000001
0.0073,0.3490561,0.0,0.27464999999999995,0.0,-0.1215,-0.2241,0.010889
0.0072,0.3490589,0.0,0.31882,0.0,-0.0762,-0.2102,0.012
0.0071,0.3525122,0.0,0.35852999999999996,0.0,-0.0407,-0.2243,0.010759999999999999
0.007,0.3525122,0.0264,0.31462,0.0,-0.0466,-0.2187,0.011343
0.0068,0.355968,0.0,0.32575,0.0,-0.0318,-0.1655,0.01622
0.0067,0.355968,0.0023,0.37841,0.0,-0.0375,-0.2441,0.008
0.0067,0.359424,0.0,0.36213999999999996,0.0,-0.0397,-0.20980000000000001,0.012
0.0067,0.359424,0.0,0.33899,0.0,0.015600000000000001,-0.1304,0.023196
0.0066,0.36288010000000004,0.042699999999999995,0.21503999999999998,0.0,0.0215,-0.08539999999999999,0.031619
0.0065,0.36288010000000004,0.051100000000000007,0.27735000000000004,0.0,0.0064,-0.162,0.016827
0.0061,0.3663361,0.0,0.34558,0.0,-0.0872,-0.2289,0.009521
0.0065,0.3663361,0.11349999999999999,0.28463,0.0,-0.04190000000000001,-0.2119,0.012
0.0082,0.3694133,0.11939999999999999,0.20876,0.0,-0.0002,-0.0983,0.028943
0.007,0.36979199999999995,0.0148,0.28758999999999996,0.0,-0.038,-0.1479,0.019908000000000002
0.0063,0.3728693,0.0385,0.29498,0.0,-0.009399999999999999,-0.179,0.015238
0.0062,0.3732479,0.0,0.33352,0.0,-0.1176,-0.2371,0.008045
0.0061,0.37632540000000003,0.0919,0.25661,0.0,-0.0874,-0.2084,0.012
0.006,0.37670400000000004,0.0527,0.21997999999999998,0.0,-0.019799999999999998,-0.1158,0.025302
0.0059,0.37978120000000004,0.030600000000000002,0.22574,0.0,-0.038900000000000004,-0.1301,0.022711000000000002
0.0057,0.3801599,0.0,0.25583,0.0,-0.0537,-0.13419999999999999,0.021544999999999998
0.0058,0.3836161,0.0,0.39814,0.0,0.0521,-0.09380000000000001,0.029358999999999996
0.0065,0.3836161,0.0,0.34192,0.0,0.0898,-0.022400000000000003,0.052
0.0085,0.3870719,0.046,0.23482,0.0,0.0943,-0.0053,0.058694
0.01,0.3870719,0.0,0.09079999999999999,0.0,-0.0038,-0.023700000000000002,0.051677
0.0094,0.39052800000000004,0.0,0.31407999999999997,0.0,0.0524,-0.0437,0.044633
0.07,0.39052800000000004,0.1349,0.28220999999999996,0.0,0.1445,0.0174,0.069687
0.0487,0.393984,0.0584,0.27679000000000004,0.0,0.06509999999999999,-0.0536,0.041283999999999994
0.0245,0.393984,0.0,0.2048,0.0,-0.0154,-0.07,0.036
0.0202,0.39743989999999996,0.052199999999999996,0.31748000000000004,0.0,0.0629,-0.075,0.034470999999999995
0.0165,0.39743989999999996,0.0311,0.25571,0.0,0.0321,-0.0512,0.042104
0.014,0.4008957,0.0,0.14964,0.0,-0.0258,-0.062,0.038792
0.0125,0.4008957,0.0,0.19719,0.0,0.019299999999999998,-0.0296,0.048948
0.0116,0.404352,0.0,0.31753,0.0,0.0026,-0.0759,0.034644
0.0108,0.404352,0.0,0.30195,0.0,-0.004,-0.07769999999999999,0.034276999999999995
0.0118,0.40780809999999995,0.0,0.45546,0.0,0.0802,-0.050499999999999996,0.042776999999999996
0.0212,0.40780809999999995,0.0,0.39464,0.0,0.0818,-0.02,0.052
0.059,0.4112639,0.048799999999999996,0.40820999999999996,0.0,0.1572,-0.0802,0.03321
0.0275,0.41472010000000004,0.0,0.34091000000000005,0.0,-0.0066,-0.08289999999999999,0.032623
0.0215,0.41472010000000004,0.147,0.22426,0.0,-0.009399999999999999,-0.0731,0.035679
0.0172,0.4181761,0.032,0.37918,0.0,-0.008100000000000001,-0.1173,0.025019
0.0148,0.4181761,0.0231,0.41142,0.0,-0.0587,-0.175,0.015882
0.0153,0.4216319,0.0,0.46254,0.0,0.0204,-0.0902,0.030851999999999997
0.0239,0.4216319,0.0449,0.37129,0.0,0.1016,-0.021400000000000002,0.05245
0.023,0.4250879,0.1346,0.41702,0.0,0.11259999999999999,-0.057,0.040087
0.0158,0.4250879,0.0394,0.3953,0.0,-0.06309999999999999,-0.1925,0.013199
0.0155,0.42854410000000004,0.0,0.5658200000000001,0.0,-0.0177,-0.1732,0.015808000000000003
0.0148,0.42854410000000004,0.0,0.5463,0.0,0.0383,-0.10460000000000001,0.028
0.0153,0.432,0.0,0.52649,0.0,0.0703,-0.0634,0.037545
0.0178,0.435456,0.0,0.53225,0.0,0.09140000000000001,-0.0458,0.044043
0.0217,0.435456,0.0,0.53601,0.0,0.1008,-0.04,0.044
0.0269,0.43891199999999997,0.0,0.57545,0.0,0.1308,-0.0348,0.046928
0.0272,0.43891199999999997,0.0,0.5849,0.0,0.1348,-0.0392,0.044652
0.0505,0.4423678,0.0525,0.42828,0.0,0.13,-0.0334,0.047859
0.0399,0.4423678,0.0,0.51948,0.0,0.0858,-0.0437,0.044381
0.199,0.445824,0.0,0.51164,0.0,0.10710000000000001,-0.0196,0.053330999999999996
0.128,0.445824,0.20370000000000002,0.38133,0.0,0.0984,-0.026099999999999998,0.050804
0.055,0.4492798,0.050199999999999995,0.2895,0.0,0.052199999999999996,-0.029500000000000002,0.049707
0.0386,0.4492798,0.059800000000000006,0.30415,0.0,0.038599999999999995,-0.0384,0.046307999999999995
0.0317,0.45273610000000003,0.0,0.26943,0.0,0.013300000000000001,-0.04019999999999999,0.045603
0.04,0.4561921,0.0,0.50318,0.0,0.1015,-0.015600000000000001,0.054675
0.095,0.4561921,0.1105,0.35462,0.0,0.1109,0.0033,0.062246
0.191,0.4596481,0.20929999999999999,0.11901,0.0,0.0436,0.0137,0.067579
0.124,0.4596481,0.16219999999999998,0.40737,0.0,0.1094,-0.0273,0.050829
0.0583,0.4631041,0.022000000000000002,0.36036,0.0,0.0355,-0.051399999999999994,0.04206
0.0426,0.4631041,0.0441,0.21406999999999998,0.0,0.0189,-0.0371,0.046799
0.0504,0.46656,0.0538,0.19007,0.0,0.047400000000000005,-0.0017000000000000001,0.060235000000000004
0.306,0.46656,0.26,0.41287999999999997,0.0,0.1439,0.011200000000000002,0.06563200000000001
0.116,0.4700161,0.3467,0.45896,0.0,0.0836,-0.0736,0.035598000000000005
0.0611,0.4700161,0.0,0.42908999999999997,0.0,0.0152,-0.07,0.036067
0.047,0.47347199999999995,0.07780000000000001,0.27918,0.0,0.042300000000000004,-0.0301,0.048
0.0367,0.47347199999999995,0.0,0.43671,0.0,-0.0131,-0.0956,0.029774000000000002
0.0328,0.476928,0.0,0.485,0.0,0.012199999999999999,-0.08529999999999999,0.031996
0.0382,0.476928,0.0,0.64259,0.0,0.1226,-0.0434,0.044258
0.0553,0.48038410000000004,0.0,0.6168899999999999,0.0,0.2164,0.054299999999999994,0.09067599999999999
0.0399,0.48038410000000004,0.0,0.66804,0.0,0.1516,-0.0371,0.046276
